KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+)	M00014; M00129	Glucuronate pathway (uronate pathway); Ascorbate biosynthesis, animals, glucose-1P => ascorbate	map00010; map00040; map00053; map00561; map00620; map00930; map01100; map01110; map01120; map01220; map01240; map05208	Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Glycerolipid metabolism; Pyruvate metabolism; Caprolactam degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Biosynthesis of cofactors; Chemical carcinogenesis - reactive oxygen species
K00003	hom	homoserine dehydrogenase	M00017; M00018	Methionine biosynthesis, aspartate => homoserine => methionine; Threonine biosynthesis, aspartate => homoserine => threonine	map00260; map00270; map00300; map01100; map01110; map01120; map01230	Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of amino acids
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase			map00650	Butanoate metabolism
K00005	gldA	glycerol dehydrogenase			map00561; map00640; map01100	Glycerolipid metabolism; Propanoate metabolism; Metabolic pathways
K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+)			map00564; map01110; map04011	Glycerophospholipid metabolism; Biosynthesis of secondary metabolites; MAPK signaling pathway - yeast
K00007	dalD	D-arabinitol 4-dehydrogenase			map00040; map00051; map01100	Pentose and glucuronate interconversions; Fructose and mannose metabolism; Metabolic pathways
K00008	SORD, gutB	L-iditol 2-dehydrogenase	M00014	Glucuronate pathway (uronate pathway)	map00040; map00051; map01100	Pentose and glucuronate interconversions; Fructose and mannose metabolism; Metabolic pathways
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase			map00051; map01100	Fructose and mannose metabolism; Metabolic pathways
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase			map00521; map00562; map01100; map01110; map01120	Streptomycin biosynthesis; Inositol phosphate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase	M00014; M00129	Glucuronate pathway (uronate pathway); Ascorbate biosynthesis, animals, glucose-1P => ascorbate	map00040; map00053; map00520; map00541; map01100; map01240	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Amino sugar and nucleotide sugar metabolism; O-Antigen nucleotide sugar biosynthesis; Metabolic pathways; Biosynthesis of cofactors
K00013	hisD	histidinol dehydrogenase	M00026	Histidine biosynthesis, PRPP => histidine	map00340; map01100; map01110; map01230	Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K00014	aroE	shikimate dehydrogenase	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400; map01100; map01110; map01230	Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
